id,trait_id_json
14380,"{""body"":493,""background"":502,""ear"":510,""nose"":512,""eye"":518,""eyebrow"":522,""medal"":525,""necklaces"":533,""top"":541,""front face"":548,""arms"":556,""accessories"":564,""back"":570,""side face"":576}"
14381,"{""body"":492,""background"":499,""ear"":503,""nose"":515,""eye"":517,""eyebrow"":521,""medal"":527,""necklaces"":532,""top"":535,""front face"":547,""arms"":554,""accessories"":563,""back"":568,""side face"":578}"
14382,"{""body"":494,""background"":499,""ear"":505,""nose"":515,""eye"":516,""eyebrow"":522,""medal"":527,""necklaces"":533,""top"":539,""front face"":543,""arms"":557,""accessories"":565,""back"":566,""side face"":575}"
14383,"{""body"":494,""background"":502,""ear"":505,""nose"":513,""eye"":518,""eyebrow"":523,""medal"":526,""necklaces"":532,""top"":541,""front face"":548,""arms"":550,""accessories"":565,""back"":572,""side face"":576}"
14384,"{""body"":494,""background"":499,""ear"":505,""nose"":513,""eye"":517,""eyebrow"":522,""medal"":528,""necklaces"":533,""top"":535,""front face"":547,""arms"":557,""accessories"":563,""back"":571,""side face"":577}"
14385,"{""body"":493,""background"":502,""ear"":507,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":531,""top"":540,""front face"":548,""arms"":555,""accessories"":563,""back"":569,""side face"":575}"
14386,"{""body"":492,""background"":502,""ear"":507,""nose"":512,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":533,""top"":539,""front face"":546,""arms"":554,""accessories"":561,""back"":573,""side face"":576}"
14387,"{""body"":494,""background"":495,""ear"":510,""nose"":511,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":530,""top"":537,""front face"":544,""arms"":553,""accessories"":562,""back"":573,""side face"":578}"
14388,"{""body"":494,""background"":502,""ear"":510,""nose"":512,""eye"":518,""eyebrow"":521,""medal"":526,""necklaces"":533,""top"":538,""front face"":549,""arms"":557,""accessories"":564,""back"":566,""side face"":578}"
14389,"{""body"":493,""background"":501,""ear"":509,""nose"":512,""eye"":517,""eyebrow"":521,""medal"":525,""necklaces"":532,""top"":537,""front face"":545,""arms"":557,""accessories"":562,""back"":569,""side face"":577}"
14390,"{""body"":494,""background"":498,""ear"":510,""nose"":513,""eye"":518,""eyebrow"":522,""medal"":524,""necklaces"":532,""top"":538,""front face"":546,""arms"":555,""accessories"":562,""back"":568,""side face"":576}"
